SAMPLE_ID,BRCA1/2_mut,other_HRR_gene_mutation_somatic,cnv_N_CNdipl,cnv_N_CNloss,cnv_N_CNgain,cnv_CNlt5_frac,cnv_CNgt10_frac,cnv_evenCN_frac,cnv_CNloss_frac,cnv_DUP_len_30000_inf,cnv_DUP_len_30_100,cnv_DEL_len_100000_inf,cnv_DIPLOID_len_100000_inf,sv_n_trans,sv_n_del,sv_n_inv,sv_n_tadem_dup,sv_trans_frac,sv_del_frac,sv_inv_frac,sv_tadem_dup_frac,sv_n_all_sv,sv_n_svclass_stdev,sv_dup_30000+,sv_del_100000+,sv_microhom_deletion_mean,sv_microhom_inversion_mean,sv_microhom_tandem-duplication_mean,sv_microhom_translocation_mean,indel_n_del,indel_n_ins,ins_indel_ratio,del_indel_ratio,indel_DEL_len_1,indel_DEL_len_2,indel_DEL_len_3,indel_DEL_len_4,indel_DEL_len_inf,indel_INS_len_1,indel_INS_len_2,indel_INS_len_3,indel_INS_len_4,indel_INS_len_inf,indel_DEL_mh,indel_DEL_noMHstatus,indel_DEL_rep,indel_del_mh_ratio,Telomeric_AI,Interstitial_AI,Telomeric_LOH,Interstitial_LOH,Ploidy,aberrant_cell_fraction,LST_count,LOH_count,MSI,cnv_DEL_0_3500_sum_indel_DEL_len_inf,indel_INS_len_inf_sum_cnv_DUP_0_30000,indel_INS_len_inf_sum_cnv_DUP_0_1000,frac_cnv_DUP_len_30000_inf,frac_cnv_DEL_len_100000_inf,frac_cnv_DIPLOID_len_100000_inf,frac_sv_dup_30000+,frac_sv_del_frac,frac_sv_del_100000+,FBI_relaxed,percent_all_cc2ca,percent_all_cc2ct,cc2ca_vs_cc2ct,SBS31,ccne1_amp,resistant_ccne1_over_6,cnv_DUP_len_0_30000,cnv_DEL_len_0_100000,cnv_DIPLOID_len_0_100000,sv_dup_0_30000,sv_del_0_100000,frac_cnv_DUP_len_0_30000,frac_cnv_DEL_len_0_100000,frac_cnv_DIPLOID_len_0_100000,frac_sv_dup_0_30000,frac_sv_del_0_100000
Sample_0002,0,0,114,45,68,0.960352422907489,0.00440528634361234,0.554054054054054,0.398230088495575,56,0,33,108,40,4,10,4,0.689655172413793,0.0689655172413793,0.172413793103448,0.0689655172413793,58,14.9248115565993,3,2,0.0,0.9,0.5,0.125,123,130,0.5138339920948617,0.48616600790513836,48,16,7,6,46,67,6,2,2,53,27,33,63,123.0,16,109,8,58,1.9181,0.41,0,5,0.0,46,65,53,0.823529411764706,0.733333333333333,0.947368421052632,0.75,0.0169491525423729,0.491525423728814,0,37.2,94.04,2.53,0.0,0,0,12,12,6,1,2,0.17647058823529405,0.26666666666666705,0.05263157894736803,0.25,0.508474576271186
Sample_0003,1,0,54,18,352,0.591981132075472,0.0589622641509434,0.497237569060773,0.0486486486486487,329,0,14,44,46,25,80,23,0.264367816091954,0.14367816091954,0.459770114942529,0.132183908045977,174,22.9183332727317,23,15,0.56,0.65,1.47826086956522,0.5,355,270,0.432,0.568,162,42,20,17,114,190,13,5,7,55,94,81,180,0.2647887324,21,294,12,67,3.2899,0.88,10,6,0.24,115,78,56,0.934659090909091,0.777777777777778,0.814814814814815,1.0,0.00571428571428571,0.596571428571429,25,32.34,65.96,2.04,0.56,1,1,23,4,10,0,10,0.06534090909090895,0.222222222222222,0.185185185185185,0.0,0.403428571428571
Sample_0004,0,1,118,38,382,0.79182156133829,0.00185873605947955,0.474409448818898,0.0904761904761905,353,0,18,91,114,144,58,146,0.246753246753247,0.311688311688312,0.125541125541126,0.316017316017316,462,35.5351938224628,30,28,1.47222222222222,1.08620689655172,1.16438356164384,1.20175438596491,1264,183,0.1264685556,0.8735314444,258,57,35,26,888,121,13,5,5,39,821,191,252,0.6495253165,34,373,18,138,3.031,0.71,39,20,0.4,891,68,40,0.924083769633508,0.473684210526316,0.771186440677966,0.205479452054795,0.00215982721382289,0.194024478041757,7,61.72,42.15,0.68,0.47,0,0,29,20,27,116,116,0.07591623036649198,0.5263157894736841,0.22881355932203395,0.794520547945205,0.805975521958243
Sample_0005,0,0,41,3,71,0.895652173913044,0.0,0.623853211009174,0.0405405405405405,66,0,3,37,18,3,1,10,0.5625,0.09375,0.03125,0.3125,32,6.67083203206317,10,2,0.0,0.0,0.6,0.277777777777778,445,327,0.42357512953367876,0.5764248704663213,189,51,29,19,157,233,20,7,2,65,126,104,215,445.0,11,49,4,15,2.5413,0.99,0,1,0.45,157,70,65,0.929577464788732,1.0,0.902439024390244,1.0,0.0303030303030303,0.646464646464647,0,31.98,142.56,4.46,0.01,0,0,5,0,4,0,1,0.07042253521126796,0.0,0.09756097560975596,0.0,0.35353535353535304
Sample_0006,0,0,47,31,23,0.99009900990099,0.0,0.510416666666667,0.574074074074074,17,0,25,40,15,12,2,0,0.517241379310345,0.413793103448276,0.0689655172413793,0.0,29,5.55777733351102,0,5,0.5,0.0,0.0,0.2,202,231,0.5334872979,0.4665127021,78,27,7,11,79,172,16,1,1,41,57,34,111,0.2821782178,13,42,9,23,1.9207,0.84,3,4,0.02,79,47,41,0.739130434782609,0.806451612903226,0.851063829787234,0.0,0.0333333333333333,0.402777777777778,0,53.66,97.24,1.81,0.43,1,1,6,6,7,0,7,0.260869565217391,0.19354838709677402,0.14893617021276595,1.0,0.597222222222222
Sample_0007,0,1,97,28,390,0.644660194174757,0.054368932038835,0.552511415525114,0.0669856459330144,352,0,22,84,102,97,43,41,0.360424028268551,0.342756183745583,0.151943462897526,0.144876325088339,283,28.8129745080233,35,44,1.39175257731959,1.04651162790698,1.02439024390244,0.823529411764706,634,445,0.41241890639481,0.58758109360519,252,79,42,24,237,246,23,4,5,167,179,124,331,634.0,33,369,13,126,3.2451,0.88,11,6,0.31,237,205,167,0.902564102564103,0.785714285714286,0.865979381443299,0.853658536585366,0.00352112676056338,0.452011035283868,13,37.93,66.81,1.76,0.6,0,0,38,6,13,6,53,0.09743589743589698,0.21428571428571397,0.134020618556701,0.14634146341463405,0.547988964716132
Sample_0008,1,0,113,75,121,0.951456310679612,0.0,0.480132450331126,0.38265306122449,113,0,70,110,88,105,31,122,0.254335260115607,0.303468208092485,0.0895953757225433,0.352601156069364,346,34.2235299172952,43,23,1.19047619047619,1.51612903225806,1.32786885245902,0.931818181818182,616,122,0.16531165311653118,0.8346883468834688,130,35,19,26,406,80,4,1,5,32,357,116,143,616.0,35,180,24,98,1.8415,0.41,42,32,0.0,406,40,32,0.933884297520661,0.933333333333333,0.973451327433628,0.352459016393443,0.00288184438040346,0.218416357897626,2,42.15,37.13,0.88,0.88,0,0,8,5,3,79,82,0.06611570247933896,0.06666666666666698,0.026548672566371945,0.647540983606557,0.781583642102374
Sample_0009,1,0,139,98,128,0.975342465753425,0.0,0.477142857142857,0.433628318584071,113,0,75,125,124,55,47,185,0.301703163017032,0.133819951338199,0.114355231143552,0.450121654501217,411,56.1354388955854,82,17,0.636363636363636,0.553191489361702,1.03243243243243,0.758064516129032,766,314,0.2907407407,0.7092592593,211,36,25,14,480,182,21,5,4,102,394,145,227,0.5143603133,38,214,27,131,1.7307,0.64,28,28,0.03,482,117,102,0.8828125,0.76530612244898,0.899280575539568,0.443243243243243,0.00242718446601942,0.308340688437776,1,68.43,53.85,0.79,0.68,0,0,15,23,14,103,38,0.1171875,0.23469387755102,0.10071942446043203,0.5567567567567571,0.691659311562224
Sample_0010,0,0,153,84,171,0.813725490196078,0.0,0.488188976377953,0.329411764705882,162,0,40,147,40,26,27,18,0.36036036036036,0.234234234234234,0.243243243243243,0.162162162162162,111,7.88590514779375,18,18,0.807692307692308,0.814814814814815,1.05555555555556,0.15,193,276,0.5884861407249466,0.4115138592750533,77,33,10,9,64,203,16,3,1,53,46,31,116,193.0,13,209,4,84,2.1534,0.61,1,2,0.01,65,62,53,0.947368421052632,0.476190476190476,0.96078431372549,1.0,0.00892857142857143,0.686126373626374,1,43.93,97.45,2.22,0.0,0,0,9,44,6,0,8,0.05263157894736803,0.523809523809524,0.03921568627451,0.0,0.31387362637362604
Sample_0011,0,0,33,7,606,0.445820433436532,0.043343653250774,0.766283524904215,0.0114192495921697,581,0,3,32,117,42,55,287,0.233532934131737,0.0838323353293413,0.109780439121757,0.572854291417166,501,97.5919438273467,279,23,1.21428571428571,0.872727272727273,2.03135888501742,0.401709401709402,442,449,0.5039281706,0.4960718294,254,44,15,19,110,312,33,10,10,84,77,104,261,0.1742081448,25,411,11,87,4.2451,0.74,13,8,0.29,110,109,84,0.958745874587459,0.428571428571428,0.96969696969697,0.97212543554007,0.00199203187250996,0.546528173022197,15,59.57,47.15,0.79,0.56,1,0,25,4,1,8,19,0.04125412541254103,0.5714285714285721,0.030303030303030054,0.027874564459929974,0.45347182697780297
