,SAMPLE_ID,labels_v3
0,Sample_0004,1
1,Sample_0006,0
2,Sample_0009,1
3,Sample_0011,1
4,Sample_0012,0
5,Sample_0014,0
6,Sample_0017,0
7,Sample_0024,0
8,Sample_0026,1
9,Sample_0032,1
10,Sample_0033,1
11,Sample_0038,0
12,Sample_0040,0
13,Sample_0045,1
14,Sample_0053,1
15,Sample_0057,1
16,Sample_0074,0
17,Sample_0090,0
18,Sample_0093,1
19,Sample_0095,0
20,Sample_0097,1
21,Sample_0101,0
22,Sample_0103,0
23,Sample_0107,0
24,Sample_0110,0
25,Sample_0111,0
26,Sample_0115,0
27,Sample_0116,0
28,Sample_0117,1
29,Sample_0119,1
30,Sample_0120,0
31,Sample_0122,1
32,Sample_0125,0
33,Sample_0126,0
34,Sample_0128,1
35,Sample_0133,0
36,Sample_0134,0
37,Sample_0135,0
38,Sample_0136,0
39,Sample_0137,0
40,Sample_0138,1
41,Sample_0139,1
42,Sample_0140,0
43,Sample_0141,0
44,Sample_0142,0
45,Sample_0143,0
46,Sample_0144,1
47,Sample_0145,0
48,Sample_0146,1
49,Sample_0147,1
50,Sample_0148,1
51,Sample_0149,0
52,Sample_0150,0
53,Sample_0151,0
54,Sample_0152,0
55,Sample_0153,0
56,Sample_0154,0
57,Sample_0155,0
58,Sample_0156,0
59,Sample_0157,1
60,Sample_0158,1
61,Sample_0159,1
62,Sample_0160,1
63,Sample_0161,1
64,Sample_0162,1
65,Sample_0163,1
66,Sample_0164,1
67,Sample_0165,0
68,Sample_0166,0
69,Sample_0167,0
70,Sample_0168,0
71,Sample_0169,0
72,Sample_0170,0
73,Sample_0171,0
74,Sample_0172,0
75,Sample_0173,0
76,Sample_0174,1
77,Sample_0175,0
78,Sample_0176,0
79,Sample_0177,0
80,Sample_0178,0
81,Sample_0179,1
82,Sample_0180,1
83,Sample_0181,1
84,Sample_0182,1
85,Sample_0183,1
86,Sample_0184,0
87,Sample_0185,1
88,Sample_0186,1
89,Sample_0187,1
90,Sample_0188,1
91,Sample_0189,1
92,Sample_0190,1
93,Sample_0191,1
94,Sample_0192,1
95,Sample_0193,1
96,Sample_0194,1
97,Sample_0195,1
98,Sample_0196,1
99,Sample_0197,1
100,Sample_0198,1
101,Sample_0199,0
102,Sample_0200,0
103,Sample_0201,0
104,Sample_0202,0
105,Sample_0203,0
106,Sample_0204,0
107,Sample_0205,0
108,Sample_0206,0
109,Sample_0207,0
110,Sample_0208,0
111,Sample_0209,0
112,Sample_0210,0
113,Sample_0211,0
114,Sample_0212,1
115,Sample_0213,1
116,Sample_0216,1
117,Sample_0221,1
118,Sample_0225,1
119,Sample_0226,1
120,Sample_0229,1
121,Sample_0236,1
122,Sample_0237,1
123,Sample_0238,1
124,Sample_0239,1
125,Sample_0247,1
126,Sample_0250,1
127,Sample_0254,1
128,Sample_0255,1
