SAMPLE_ID,other_HRR_gene_mutation_somatic,cnv_DUP_len_30000_inf,cnv_DUP_len_30_100,cnv_DEL_len_100000_inf,cnv_DIPLOID_len_100000_inf,sv_n_trans,sv_n_del,sv_n_inv,sv_n_tadem_dup,sv_dup_30000+,sv_del_100000+,sv_microhom_deletion_mean,sv_microhom_inversion_mean,sv_microhom_tandem-duplication_mean,sv_microhom_translocation_mean,indel_n_del,indel_n_ins,indel_insdel_ratio,indel_DEL_len_1,indel_DEL_len_2,indel_DEL_len_3,indel_DEL_len_4,indel_DEL_len_inf,indel_INS_len_1,indel_INS_len_2,indel_INS_len_3,indel_INS_len_4,indel_INS_len_inf,indel_DEL_mh,indel_DEL_noMHstatus,indel_DEL_rep,indel_ratio,Telomeric_AI,Interstitial_AI,Telomeric_LOH,Interstitial_LOH,LST_count,LOH_count,MSI,cnv_DEL_0_3500_sum_indel_DEL_len_inf,indel_INS_len_inf_sum_cnv_DUP_0_30000,indel_INS_len_inf_sum_cnv_DUP_0_1000,FBI_relaxed,percent_all_cc2ca,percent_all_cc2ct,cc2ca_vs_cc2ct,SBS31,ccne1_amp,resistant_ccne1_over_6,BRCA1/2_mut,cnv_DUP_len_0_30000,cnv_DEL_len_0_100000,cnv_DIPLOID_len_0_100000,sv_dup_0_30000,sv_del_0_100000
Sample_0002,0,56,0,33,108,40,4,10,4,3,2,0.0,0.9,0.5,0.125,123,130,1.05691056910569,48,16,7,6,46,67,6,2,2,53,27,33,58,1.05691056910569,16,109,8,58,0,5,0.0,46,65,53,0,37.2,94.04,2.53,0.0,0,0,0,12,12,6,1,2
Sample_0003,0,329,0,14,44,46,25,80,23,23,15,0.56,0.65,1.47826086956522,0.5,355,270,0.76056338028169,162,42,20,17,114,190,13,5,7,55,90,81,180,0.76056338028169,21,294,12,67,10,6,0.24,115,78,56,25,32.34,65.96,2.04,0.56,1,1,0,23,4,10,0,10
Sample_0004,1,353,0,18,91,114,144,58,146,30,28,1.47222222222222,1.08620689655172,1.16438356164384,1.20175438596491,1264,183,0.144778481012658,258,57,35,26,888,121,13,5,5,39,779,191,252,0.144778481012658,34,373,18,138,39,20,0.4,891,68,40,7,61.72,42.15,0.68,0.47,0,0,0,29,20,27,116,116
Sample_0005,0,66,0,3,37,18,3,1,10,10,2,0.0,0.0,0.6,0.277777777777778,445,327,0.734831460674157,189,51,29,19,157,233,20,7,2,65,126,104,211,0.734831460674157,11,49,4,15,0,1,0.45,157,70,65,0,31.98,142.56,4.46,0.01,0,0,0,5,0,4,0,1
Sample_0006,0,17,0,25,40,15,12,2,0,0,5,0.5,0.0,0.0,0.2,202,231,1.14356435643564,78,27,7,11,79,172,16,1,1,41,57,34,105,1.14356435643564,13,42,9,23,3,4,0.02,79,47,41,0,53.66,97.24,1.81,0.43,0,0,0,6,6,7,0,7
Sample_0007,1,352,0,22,84,102,97,43,41,35,44,1.39175257731959,1.04651162790698,1.02439024390244,0.823529411764706,634,445,0.701892744479495,252,79,42,24,237,246,23,4,5,167,179,124,321,0.701892744479495,33,369,13,126,11,6,0.31,237,205,167,13,37.93,66.81,1.76,0.6,1,1,0,38,6,13,6,53
Sample_0008,0,113,0,70,110,88,105,31,122,43,23,1.19047619047619,1.51612903225806,1.32786885245902,0.931818181818182,616,122,0.198051948051948,130,35,19,26,406,80,4,1,5,32,327,116,143,0.198051948051948,35,180,24,98,42,32,0.0,406,40,32,2,42.15,37.13,0.88,0.88,0,0,1,8,5,3,79,82
Sample_0009,0,113,0,75,125,124,55,47,185,82,17,0.636363636363636,0.553191489361702,1.03243243243243,0.758064516129032,766,314,0.409921671018277,211,36,25,14,480,182,21,5,4,102,370,145,227,0.409921671018277,38,214,27,131,28,28,0.03,482,117,102,1,68.43,53.85,0.79,0.68,0,0,1,15,23,14,103,38
Sample_0010,0,162,0,40,147,40,26,27,18,18,18,0.807692307692308,0.814814814814815,1.05555555555556,0.15,193,276,1.4300518134715,77,33,10,9,64,203,16,3,1,53,46,31,115,1.4300518134715,13,209,4,84,1,2,0.01,65,62,53,1,43.93,97.45,2.22,0.0,0,0,0,9,44,6,0,8
Sample_0011,0,581,0,3,32,117,42,55,287,279,23,1.21428571428571,0.872727272727273,2.03135888501742,0.401709401709402,442,449,1.0158371040724,254,44,15,19,110,312,33,10,10,84,77,104,252,1.0158371040724,25,411,11,87,13,8,0.29,110,109,84,15,59.57,47.15,0.79,0.56,1,1,0,25,4,1,8,19
