,SAMPLE_ID,labels_v3,Predicted
0,Sample_0004,1,1
1,Sample_0006,0,1
2,Sample_0009,1,1
3,Sample_0011,1,1
4,Sample_0012,0,1
5,Sample_0014,0,0
6,Sample_0017,0,0
7,Sample_0024,0,1
8,Sample_0026,1,1
9,Sample_0032,1,1
10,Sample_0033,1,1
11,Sample_0038,0,1
12,Sample_0040,0,0
13,Sample_0045,1,1
14,Sample_0053,1,0
15,Sample_0057,1,1
16,Sample_0074,0,1
17,Sample_0090,0,0
18,Sample_0093,1,1
19,Sample_0095,0,1
20,Sample_0097,1,0
21,Sample_0101,0,0
22,Sample_0103,0,1
23,Sample_0107,0,0
24,Sample_0110,0,0
25,Sample_0111,0,0
26,Sample_0115,0,1
27,Sample_0116,0,1
28,Sample_0117,1,1
29,Sample_0119,1,0
30,Sample_0120,0,0
31,Sample_0122,1,0
32,Sample_0125,0,0
33,Sample_0126,0,0
34,Sample_0128,1,1
35,Sample_0133,0,1
36,Sample_0134,0,1
37,Sample_0135,0,1
38,Sample_0136,0,1
39,Sample_0137,0,0
40,Sample_0138,1,1
41,Sample_0139,1,1
42,Sample_0140,0,1
43,Sample_0141,0,1
44,Sample_0142,0,1
45,Sample_0143,0,1
46,Sample_0144,1,1
47,Sample_0145,0,1
48,Sample_0146,1,1
49,Sample_0147,1,1
50,Sample_0148,1,1
51,Sample_0149,0,1
52,Sample_0150,0,1
53,Sample_0151,0,1
54,Sample_0152,0,1
55,Sample_0153,0,1
56,Sample_0154,0,1
57,Sample_0155,0,1
58,Sample_0157,1,1
59,Sample_0158,1,1
60,Sample_0159,1,1
61,Sample_0160,1,1
62,Sample_0161,1,1
63,Sample_0162,1,1
64,Sample_0163,1,1
65,Sample_0164,1,1
66,Sample_0165,0,1
67,Sample_0166,0,1
68,Sample_0167,0,1
69,Sample_0168,0,1
70,Sample_0169,0,1
71,Sample_0170,0,1
72,Sample_0171,0,1
73,Sample_0172,0,1
74,Sample_0173,0,0
75,Sample_0174,1,1
76,Sample_0175,0,1
77,Sample_0176,0,1
78,Sample_0178,0,1
79,Sample_0179,1,1
80,Sample_0180,1,1
81,Sample_0181,1,1
82,Sample_0182,1,1
83,Sample_0183,1,1
84,Sample_0184,0,1
85,Sample_0185,1,1
86,Sample_0186,1,1
87,Sample_0187,1,1
88,Sample_0188,1,0
89,Sample_0189,1,1
90,Sample_0190,1,1
91,Sample_0191,1,1
92,Sample_0192,1,1
93,Sample_0193,1,1
94,Sample_0194,1,1
95,Sample_0195,1,1
96,Sample_0196,1,1
97,Sample_0197,1,1
98,Sample_0198,1,1
99,Sample_0199,0,1
100,Sample_0200,0,1
101,Sample_0201,0,1
102,Sample_0202,0,1
103,Sample_0203,0,1
104,Sample_0204,0,1
105,Sample_0205,0,1
106,Sample_0206,0,1
107,Sample_0207,0,1
108,Sample_0208,0,1
109,Sample_0209,0,1
110,Sample_0210,0,1
111,Sample_0211,0,1
112,Sample_0212,1,1
113,Sample_0213,1,1
114,Sample_0216,1,1
115,Sample_0221,1,1
116,Sample_0225,1,1
117,Sample_0226,1,0
118,Sample_0229,1,1
119,Sample_0236,1,1
120,Sample_0237,1,1
121,Sample_0238,1,1
122,Sample_0239,1,1
123,Sample_0247,1,1
124,Sample_0250,1,1
125,Sample_0254,1,1
126,Sample_0255,1,1
