,SAMPLE_ID,labels_v4,Predicted
0,Sample_0006,1,1
1,Sample_0019,1,1
2,Sample_0023,0,1
3,Sample_0031,1,1
4,Sample_0033,1,1
5,Sample_0035,1,1
6,Sample_0037,1,1
7,Sample_0057,1,1
8,Sample_0083,0,1
9,Sample_0087,1,1
10,Sample_0088,1,1
11,Sample_0089,0,1
12,Sample_0105,1,1
13,Sample_0109,1,1
14,Sample_0110,1,1
15,Sample_0118,1,1
16,Sample_0126,1,0
17,Sample_0137,0,0
18,Sample_0138,1,1
19,Sample_0142,0,1
20,Sample_0147,1,0
21,Sample_0149,0,0
22,Sample_0158,1,1
23,Sample_0159,1,0
24,Sample_0161,1,1
25,Sample_0165,0,1
26,Sample_0168,0,1
27,Sample_0173,0,0
28,Sample_0180,1,0
29,Sample_0182,1,0
30,Sample_0184,0,0
31,Sample_0185,1,1
32,Sample_0188,1,0
33,Sample_0193,1,1
34,Sample_0197,1,1
35,Sample_0198,1,1
36,Sample_0202,0,0
37,Sample_0207,0,0
38,Sample_0208,0,0
39,Sample_0216,1,1
40,Sample_0220,1,1
41,Sample_0222,1,1
42,Sample_0224,1,1
43,Sample_0226,1,1
44,Sample_0229,1,1
45,Sample_0230,1,1
46,Sample_0232,1,1
47,Sample_0236,1,1
48,Sample_0237,1,1
49,Sample_0240,1,1
50,Sample_0249,1,1
51,Sample_0252,1,0
