SAMPLE_ID,Telomeric_AI,LST_count,LOH_count,labels_v1
Sample_0003,21,10,6,1
Sample_0004,34,39,20,1
Sample_0006,13,3,4,0
Sample_0009,38,28,28,1
Sample_0011,25,13,8,1
Sample_0012,37,37,24,0
Sample_0013,35,19,12,1
Sample_0014,34,16,19,0
Sample_0015,34,18,6,1
Sample_0016,36,27,35,1
Sample_0017,35,9,17,0
Sample_0018,35,6,15,0
Sample_0019,39,35,22,1
Sample_0020,30,36,28,1
Sample_0022,40,25,23,1
Sample_0023,37,30,26,0
Sample_0024,32,26,20,0
Sample_0025,24,7,15,1
Sample_0026,21,5,9,1
Sample_0027,35,15,23,0
Sample_0031,33,7,15,1
Sample_0032,29,12,12,1
Sample_0033,11,0,3,1
Sample_0034,27,19,12,1
Sample_0035,34,27,22,1
Sample_0037,38,27,17,1
Sample_0038,38,30,21,0
Sample_0039,37,12,23,1
Sample_0040,29,12,4,0
Sample_0044,29,6,10,1
Sample_0045,36,34,15,1
Sample_0047,40,31,19,1
Sample_0052,17,1,0,1
Sample_0053,17,9,4,1
Sample_0057,29,30,16,1
Sample_0062,37,29,26,1
Sample_0074,29,17,24,0
Sample_0083,6,3,3,0
Sample_0085,35,5,18,1
Sample_0086,26,14,11,1
Sample_0087,32,33,19,1
Sample_0088,25,15,19,1
Sample_0089,31,18,11,0
Sample_0090,32,24,16,0
Sample_0091,37,16,17,1
Sample_0092,29,22,25,1
Sample_0093,12,2,2,1
Sample_0094,4,1,0,1
Sample_0095,18,4,1,0
Sample_0097,35,18,9,1
Sample_0099,32,10,10,0
Sample_0100,9,4,0,0
Sample_0101,32,16,21,0
Sample_0103,25,1,6,0
Sample_0105,29,20,22,1
Sample_0106,11,3,3,1
Sample_0107,29,23,20,0
Sample_0108,28,3,10,1
Sample_0109,34,29,33,1
Sample_0110,35,12,12,0
Sample_0111,33,21,13,0
Sample_0112,36,32,15,1
Sample_0115,30,12,14,0
Sample_0116,41,27,18,0
Sample_0117,27,21,18,1
Sample_0118,31,12,11,1
Sample_0119,38,22,20,1
Sample_0120,20,4,6,0
Sample_0122,12,4,1,1
Sample_0123,32,24,12,0
Sample_0124,5,0,0,0
Sample_0125,12,3,2,0
Sample_0126,30,13,16,0
Sample_0128,22,9,11,1
Sample_0131,29,12,25,1
Sample_0133,18,0,2,0
Sample_0134,31,13,24,0
Sample_0135,27,28,16,0
Sample_0136,31,12,17,0
Sample_0137,28,19,16,0
Sample_0138,30,31,18,1
Sample_0139,30,12,6,1
Sample_0140,25,11,5,0
Sample_0141,31,21,20,0
Sample_0142,24,10,16,0
Sample_0143,30,18,12,0
Sample_0144,21,7,5,1
Sample_0145,19,18,13,0
Sample_0146,34,30,16,1
Sample_0147,28,20,13,1
Sample_0148,18,4,12,1
Sample_0149,35,15,15,0
Sample_0150,37,30,6,0
Sample_0151,29,12,22,0
Sample_0152,21,9,14,0
Sample_0153,26,14,15,0
Sample_0154,32,10,18,0
Sample_0155,23,11,4,0
Sample_0157,33,22,17,1
Sample_0158,31,33,19,1
Sample_0159,28,13,10,1
Sample_0160,39,38,22,1
Sample_0161,26,13,14,1
Sample_0162,34,31,16,1
Sample_0163,39,37,25,1
Sample_0164,32,27,21,1
Sample_0165,29,13,9,0
Sample_0166,6,0,1,0
Sample_0167,25,24,13,0
Sample_0168,36,23,13,0
Sample_0169,30,29,7,0
Sample_0170,36,26,13,0
Sample_0171,40,32,13,0
Sample_0172,30,17,5,0
Sample_0173,24,3,12,0
Sample_0174,35,8,13,1
Sample_0175,28,10,8,0
Sample_0176,30,25,20,0
Sample_0178,33,17,12,0
Sample_0179,35,35,8,1
Sample_0180,25,6,10,1
Sample_0181,22,14,9,1
Sample_0182,39,26,27,1
Sample_0183,31,26,9,1
Sample_0184,32,39,10,0
Sample_0185,36,27,23,1
Sample_0186,37,32,18,1
Sample_0187,27,11,6,1
Sample_0188,33,19,15,1
Sample_0189,30,27,17,1
Sample_0190,33,39,18,1
Sample_0191,31,30,17,1
Sample_0192,28,25,15,1
Sample_0193,32,39,8,1
Sample_0194,38,29,16,1
Sample_0195,30,27,28,1
Sample_0196,26,16,15,1
Sample_0197,33,30,14,1
Sample_0198,28,30,25,1
Sample_0199,25,19,14,0
Sample_0200,27,8,12,0
Sample_0201,31,21,26,0
Sample_0202,24,15,6,0
Sample_0203,34,16,17,0
Sample_0204,37,12,19,0
Sample_0205,33,10,5,0
Sample_0206,25,9,3,0
Sample_0207,34,24,19,0
Sample_0208,21,10,13,0
Sample_0209,23,16,2,0
Sample_0210,27,9,8,0
Sample_0211,24,8,12,0
Sample_0212,28,11,5,1
Sample_0213,25,21,18,1
Sample_0214,35,18,20,1
Sample_0215,36,21,14,1
Sample_0216,31,8,17,1
Sample_0217,26,12,11,1
Sample_0218,29,10,14,1
Sample_0219,31,13,12,1
Sample_0220,31,24,21,1
Sample_0221,26,25,10,1
Sample_0222,32,23,19,1
Sample_0223,6,8,5,0
Sample_0224,33,30,16,1
Sample_0225,30,11,6,1
Sample_0226,25,4,6,1
Sample_0227,30,23,17,1
Sample_0228,18,6,2,1
Sample_0229,8,5,4,1
Sample_0230,25,7,10,1
Sample_0231,28,12,9,1
Sample_0232,30,33,11,1
Sample_0233,38,36,13,1
Sample_0234,38,28,13,1
Sample_0235,23,10,11,1
Sample_0236,28,10,8,1
Sample_0237,28,10,6,1
Sample_0238,28,3,17,1
Sample_0239,25,9,9,1
Sample_0240,39,31,18,1
