,SAMPLE_ID,improved_label,Predicted
0,Sample_0003,1,1
1,Sample_0009,1,1
2,Sample_0016,1,1
3,Sample_0017,1,1
4,Sample_0018,1,1
5,Sample_0022,1,1
6,Sample_0025,1,1
7,Sample_0032,1,1
8,Sample_0034,1,1
9,Sample_0037,1,1
10,Sample_0045,0,1
11,Sample_0057,1,1
12,Sample_0083,1,1
13,Sample_0086,1,1
14,Sample_0088,1,1
15,Sample_0089,1,0
16,Sample_0091,1,1
17,Sample_0099,1,1
18,Sample_0101,1,1
19,Sample_0103,0,0
20,Sample_0110,0,0
21,Sample_0116,1,1
22,Sample_0123,1,0
23,Sample_0128,1,1
24,Sample_0217,1,1
25,Sample_0223,1,0
26,Sample_0224,1,1
27,Sample_0225,0,1
28,Sample_0227,1,1
29,Sample_0232,1,1
30,Sample_0234,1,1
31,Sample_0239,0,1
32,Sample_0241,1,1
33,Sample_0243,1,1
34,Sample_0249,1,1
35,Sample_0250,0,1
36,Sample_0253,1,1
